"","","","VAgree","HarmonizeBack","HarmonizeFront"
"","kokula-RAISE-B","1","","",""
"kola","kola-RAISE-F","0","1","1",""
"","kola-RAISE-B","10","","",""
"koldurma","koldurma-RAISE-F","0","1","1",""
"","koldurma-RAISE-B","5","","",""
"kölem","kölem-RAISE-F","26","","",""
"","kölem-RAISE-B","0","1","","1"
"komanda","komanda-RAISE-F","0","1","1",""
"","komanda-RAISE-B","460","","",""
"komissariyat","komissariyat-RAISE-F","0","1","1",""
"","komissariyat-RAISE-B","1","","",""
"kommuna","kommuna-RAISE-F","0","1","1",""
"","kommuna-RAISE-B","3","","",""
"kompartiye","kompartiye-RAISE-F","190","1","",""
"","kompartiye-RAISE-B","0","","","1"
"kömürxana","kömürxana-RAISE-F","0","1","1",""
"","kömürxana-RAISE-B","2","","",""
"kona","kona-RAISE-F","0","1","1",""
"","kona-RAISE-B","6","","",""
"konar","konar-RAISE-F","0","1","1",""
"","konar-RAISE-B","2","","",""
"konsulxana","konsulxana-RAISE-F","2.00000000000001","1","1",""
"","konsulxana-RAISE-B","267","","",""
"köpey","köpey-RAISE-F","7","","",""
"","köpey-RAISE-B","1","1","","1"
"köpeytme","köpeytme-RAISE-F","1","","",""
"","köpeytme-RAISE-B","0","1","","1"
"köpinche","köpinche-RAISE-F","75","","",""
"","köpinche-RAISE-B","0","1","","1"
"köptürme","köptürme-RAISE-F","2","","",""
"","köptürme-RAISE-B","0","1","","1"
"kora","kora-RAISE-F","0","1","1",""
"","kora-RAISE-B","3","","",""
"körengle","körengle-RAISE-F","4","","",""
"","körengle-RAISE-B","0","1","","1"
"körgezme","körgezme-RAISE-F","994","","",""
"","körgezme-RAISE-B","0","1","","1"
"körgezmixana","körgezmixana-RAISE-F","0","1","1",""
"","körgezmixana-RAISE-B","8","","",""
"koriye","koriye-RAISE-F","110","1","",""
"","koriye-RAISE-B","0","","","1"
"korla","korla-RAISE-F","0","1","1",""
"","korla-RAISE-B","100","","",""
"körset","körset-RAISE-F","371","","",""
"","körset-RAISE-B","17","1","","1"
"körsetme","körsetme-RAISE-F","139","","",""
"","körsetme-RAISE-B","0","1","","1"
"kötüre","kötüre-RAISE-F","7","","",""
"","kötüre-RAISE-B","0","1","","1"
"koza","koza-RAISE-F","0","1","1",""
"","koza-RAISE-B","7","","",""
"közet","közet-RAISE-F","45","","",""
"","közet-RAISE-B","1","1","","1"
"közle","közle-RAISE-F","87","","",""
"","közle-RAISE-B","0","1","","1"
"közqarash","közqarash-RAISE-F","0","1","1",""
"","közqarash-RAISE-B","8","","",""
"kristallan","kristallan-RAISE-F","0","1","1",""
"","kristallan-RAISE-B","1","","",""
"krodiye","krodiye-RAISE-F","1","1","",""
"","krodiye-RAISE-B","0","","","1"
"kucha","kucha-RAISE-F","1","1","1",""
"","kucha-RAISE-B","3","","",""
"küche","küche-RAISE-F","23","","",""
"","küche-RAISE-B","0","1","","1"
"küchey","küchey-RAISE-F","4","","",""
"","küchey-RAISE-B","5","1","","1"
"küchlen","küchlen-RAISE-F","31","","",""
"","küchlen-RAISE-B","1","1","","1"
"küchsizlen","küchsizlen-RAISE-F","1","","",""
"","küchsizlen-RAISE-B","0","1","","1"
"kula","kula-RAISE-F","0","1","1",""
"","kula-RAISE-B","1","","",""
"külbe","külbe-RAISE-F","3","","",""
"","külbe-RAISE-B","0","1","","1"
"külpet","külpet-RAISE-F","3","","",""
"","külpet-RAISE-B","0","1","","1"
"kupayilen","kupayilen-RAISE-F","1","1","",""
"","kupayilen-RAISE-B","0","","","1"
"küresh","küresh-RAISE-F","7","","",""
"","küresh-RAISE-B","0","1","","1"
"kürpe","kürpe-RAISE-F","1","","",""
"","kürpe-RAISE-B","0","1","","1"
"küshende","küshende-RAISE-F","6","","",""
"","küshende-RAISE-B","0","1","","1"
"kutupxana","kutupxana-RAISE-F","2.00000000000001","1","1",""
"","kutupxana-RAISE-B","144","","",""
"kütüpxana","kütüpxana-RAISE-F","8","1","1",""
"","kütüpxana-RAISE-B","62","","",""
"kütüwal","kütüwal-RAISE-F","1","","1",""
"","kütüwal-RAISE-B","3","1","",""
"küye","küye-RAISE-F","2","","",""
"","küye-RAISE-B","0","1","","1"
"lale","lale-RAISE-F","10","1","",""
"","lale-RAISE-B","0","","","1"
"lalma","lalma-RAISE-F","0","1","1",""
"","lalma-RAISE-B","3","","",""
"lama","lama-RAISE-F","0","1","1",""
"","lama-RAISE-B","4","","",""
"lampa","lampa-RAISE-F","0","1","1",""
"","lampa-RAISE-B","5","","",""
"lata","lata-RAISE-F","0","1","1",""
"","lata-RAISE-B","23","","",""
"latapet","latapet-RAISE-F","1","1","",""
"","latapet-RAISE-B","0","","","1"
"lawa","lawa-RAISE-F","0","1","1",""
"","lawa-RAISE-B","4","","",""
"layihe","layihe-RAISE-F","1065","1","",""
"","layihe-RAISE-B","1","","","1"
"layihele","layihele-RAISE-F","3","","",""
"","layihele-RAISE-B","0","1","","1"
"layihelesh","layihelesh-RAISE-F","1","","",""
"","layihelesh-RAISE-B","0","1","","1"
"laza","laza-RAISE-F","0","1","1",""
"","laza-RAISE-B","6","","",""
"lehze","lehze-RAISE-F","4","","",""
"","lehze-RAISE-B","0","1","","1"
"lenet","lenet-RAISE-F","17","","",""
"","lenet-RAISE-B","0","1","","1"
"lengmen","lengmen-RAISE-F","1","","",""
"","lengmen-RAISE-B","0","1","","1"
"lepilde","lepilde-RAISE-F","8","","",""
"","lepilde-RAISE-B","0","1","","1"
"lerze","lerze-RAISE-F","177","","",""
"","lerze-RAISE-B","0","1","","1"
"letipe","letipe-RAISE-F","37","","",""
"","letipe-RAISE-B","0","1","","1"
"lexme","lexme-RAISE-F","2","","",""
"","lexme-RAISE-B","0","1","","1"
"leyle","leyle-RAISE-F","3","","",""
"","leyle-RAISE-B","0","1","","1"
"lezzet","lezzet-RAISE-F","8","","",""
"","lezzet-RAISE-B","0","1","","1"
"lezzetlen","lezzetlen-RAISE-F","2","","",""
"","lezzetlen-RAISE-B","0","1","","1"
"lutpulla","lutpulla-RAISE-F","0","1","1",""
"","lutpulla-RAISE-B","1","","",""
"madda","madda-RAISE-F","0","1","1",""
"","madda-RAISE-B","1114","","",""
"maharet","maharet-RAISE-F","116","1","",""
"","maharet-RAISE-B","1","","","1"
"mahiyet","mahiyet-RAISE-F","146","1","",""
"","mahiyet-RAISE-B","0","","","1"
"maje","maje-RAISE-F","1","1","",""
"","maje-RAISE-B","0","","","1"
"makanlash","makanlash-RAISE-F","0","1","1",""
"","makanlash-RAISE-B","9","","",""
"makédoniye","makédoniye-RAISE-F","1","1","",""
"","makédoniye-RAISE-B","0","","","1"
"malamet","malamet-RAISE-F","2","1","",""
"","malamet-RAISE-B","0","","","1"
"malay","malay-RAISE-F","2","1","1",""
"","malay-RAISE-B","0","","",""
"malta","malta-RAISE-F","0","1","1",""
"","malta-RAISE-B","2","","",""
"manglay","manglay-RAISE-F","0","1","1",""
"","manglay-RAISE-B","25","","",""
"manta","manta-RAISE-F","0","1","1",""
"","manta-RAISE-B","21","","",""
"maqulla","maqulla-RAISE-F","0","1","1",""
"","maqulla-RAISE-B","65","","",""
"mashina","mashina-RAISE-F","0","1","1",""
"","mashina-RAISE-B","419","","",""
"mashinilash","mashinilash-RAISE-F","0","1","1",""
"","mashinilash-RAISE-B","1","","",""
"mashna","mashna-RAISE-F","0","1","1",""
"","mashna-RAISE-B","5","","",""
"maslash","maslash-RAISE-F","0","1","1",""
"","maslash-RAISE-B","45","","",""
"massa","massa-RAISE-F","0","1","1",""
"","massa-RAISE-B","12","","",""
"maxta","maxta-RAISE-F","0","1","1",""
"","maxta-RAISE-B","28","","",""
"maysa","maysa-RAISE-F","3","1","1",""
"","maysa-RAISE-B","16","","",""
"mazar","mazar-RAISE-F","0","1","1",""
"","mazar-RAISE-B","55","","",""
"medeniyet","medeniyet-RAISE-F","1140","","",""
"","medeniyet-RAISE-B","1","1","","1"
"medeniylesh","medeniylesh-RAISE-F","1","","",""
"","medeniylesh-RAISE-B","0","1","","1"
"medet","medet-RAISE-F","2","","",""
"","medet-RAISE-B","0","1","","1"
"medhiyile","medhiyile-RAISE-F","23","","",""
"","medhiyile-RAISE-B","0","1","","1"
"mediniyet","mediniyet-RAISE-F","6","","",""
"","mediniyet-RAISE-B","0","1","","1"
"medrise","medrise-RAISE-F","241","","",""
"","medrise-RAISE-B","0","1","","1"
"méduza","méduza-RAISE-F","0","1","1",""
"","méduza-RAISE-B","1","","",""
"meghlubiyet","meghlubiyet-RAISE-F","18","1","",""
"","meghlubiyet-RAISE-B","0","","","1"
"meghrurlan","meghrurlan-RAISE-F","0","1","1",""
"","meghrurlan-RAISE-B","13","","",""
"mehbube","mehbube-RAISE-F","1","1","",""
"","mehbube-RAISE-B","0","","","1"
"mehelle","mehelle-RAISE-F","1443","","",""
"","mehelle-RAISE-B","0","1","","1"
"méhmanxana","méhmanxana-RAISE-F","0","1","1",""
"","méhmanxana-RAISE-B","597","","",""
"mehrem","mehrem-RAISE-F","1","","",""
"","mehrem-RAISE-B","0","1","","1"
"mejburiyet","mejburiyet-RAISE-F","72","1","",""
"","mejburiyet-RAISE-B","0","","","1"
"mejlisxana","mejlisxana-RAISE-F","0","1","1",""
"","mejlisxana-RAISE-B","4","","",""
"memedana","memedana-RAISE-F","0","1","1",""
"","memedana-RAISE-B","1","","",""
"memuriyet","memuriyet-RAISE-F","129","1","",""
"","memuriyet-RAISE-B","0","","","1"
"menche","menche-RAISE-F","0","","",""
"","menche-RAISE-B","1","1","","1"
"menpe'et","menpe'et-RAISE-F","194","","",""
"","menpe'et-RAISE-B","0","1","","1"
"mensep","mensep-RAISE-F","9","","",""
"","mensep-RAISE-B","0","1","","1"
"menzire","menzire-RAISE-F","292","","",""
"","menzire-RAISE-B","1","1","","1"
"mepkure","mepkure-RAISE-F","31","1","",""
"","mepkure-RAISE-B","4","","","1"
"meqbere","meqbere-RAISE-F","15","","",""
"","meqbere-RAISE-B","0","1","","1"
"merhemet","merhemet-RAISE-F","3","","",""
"","merhemet-RAISE-B","0","1","","1"
"merkezlesh","merkezlesh-RAISE-F","5","","",""
"","merkezlesh-RAISE-B","0","1","","1"
"mertiwe","mertiwe-RAISE-F","216","","",""
"","mertiwe-RAISE-B","0","1","","1"
"mes'uliyet","mes'uliyet-RAISE-F","45","1","",""
"","mes'uliyet-RAISE-B","0","","","1"
"mese","mese-RAISE-F","53","","",""
"","mese-RAISE-B","0","1","","1"
"mesel","mesel-RAISE-F","17","","",""
"","mesel-RAISE-B","0","1","","1"
"meshrep","meshrep-RAISE-F","16","","",""
"","meshrep-RAISE-B","0","1","","1"
"mesile","mesile-RAISE-F","14189","","",""
"","mesile-RAISE-B","0","1","","1"
"mesle","mesle-RAISE-F","58","","",""
"","mesle-RAISE-B","0","1","","1"
"meslihet","meslihet-RAISE-F","41","","",""
"","meslihet-RAISE-B","0","1","","1"
"meslihetlesh","meslihetlesh-RAISE-F","3","","",""
"","meslihetlesh-RAISE-B","0","1","","1"
"mestane","mestane-RAISE-F","4","1","",""
"","mestane-RAISE-B","4","","","1"
"mesxire","mesxire-RAISE-F","112","","",""
"","mesxire-RAISE-B","0","1","","1"
"mewjudiyet","mewjudiyet-RAISE-F","14","1","",""
"","mewjudiyet-RAISE-B","0","","","1"
"meyde","meyde-RAISE-F","171","","",""
"","meyde-RAISE-B","0","1","","1"
"meyüslen","meyüslen-RAISE-F","3","","",""
"","meyüslen-RAISE-B","0","1","","1"
"meyxana","meyxana-RAISE-F","2","1","1",""
"","meyxana-RAISE-B","5","","",""
"meze","meze-RAISE-F","6","","",""
"","meze-RAISE-B","0","1","","1"
"mezheb","mezheb-RAISE-F","9","","",""
"","mezheb-RAISE-B","0","1","","1"
"mezhep","mezhep-RAISE-F","49","","",""
"","mezhep-RAISE-B","0","1","","1"
"mezze","mezze-RAISE-F","72","","",""
"","mezze-RAISE-B","0","1","","1"
"miniatyura","miniatyura-RAISE-F","0","1","1",""
"","miniatyura-RAISE-B","58","","",""
"mirzaxana","mirzaxana-RAISE-F","0","1","1",""
"","mirzaxana-RAISE-B","1","","",""
"möjize","möjize-RAISE-F","106","","",""
"","möjize-RAISE-B","0","1","","1"
"mölcher","mölcher-RAISE-F","4","","",""
"","mölcher-RAISE-B","0","1","","1"
"mölcherle","mölcherle-RAISE-F","69","","",""
"","mölcherle-RAISE-B","0","1","","1"
"molékula","molékula-RAISE-F","0","1","1",""
"","molékula-RAISE-B","4","","",""
"molla","molla-RAISE-F","0","1","1",""
"","molla-RAISE-B","112","","",""
"mollash","mollash-RAISE-F","0","1","1",""
"","mollash-RAISE-B","1","","",""
"moma","moma-RAISE-F","0","1","1",""
"","moma-RAISE-B","79","","",""
"momay","momay-RAISE-F","0","1","1",""
"","momay-RAISE-B","1","","",""
"mora","mora-RAISE-F","0","1","1",""
"","mora-RAISE-B","3","","",""
"mötiwer","mötiwer-RAISE-F","1","","",""
"","mötiwer-RAISE-B","0","1","","1"
"mozay","mozay-RAISE-F","0","1","1",""
"","mozay-RAISE-B","7","","",""
"mu'amile","mu'amile-RAISE-F","678","1","",""
"","mu'amile-RAISE-B","0","","","1"
"mu'essese","mu'essese-RAISE-F","43","","",""
"","mu'essese-RAISE-B","0","1","","1"
"mudapi'e","mudapi'e-RAISE-F","1","1","",""
"","mudapi'e-RAISE-B","0","","","1"
"mudapi'elen","mudapi'elen-RAISE-F","2","","",""
"","mudapi'elen-RAISE-B","0","1","","1"
"mudaxile","mudaxile-RAISE-F","16","1","",""
"","mudaxile-RAISE-B","1","","","1"
"muddet","muddet-RAISE-F","8","1","",""
"","muddet-RAISE-B","0","","","1"
"mudiriyet","mudiriyet-RAISE-F","2","1","",""
"","mudiriyet-RAISE-B","0","","","1"
"muharibe","muharibe-RAISE-F","1","1","",""
"","muharibe-RAISE-B","0","","","1"
"muhasire","muhasire-RAISE-F","81","1","",""
"","muhasire-RAISE-B","0","","","1"
"muhebbet","muhebbet-RAISE-F","72","","",""
"","muhebbet-RAISE-B","0","1","","1"
"muhebbetlesh","muhebbetlesh-RAISE-F","2","","",""
"","muhebbetlesh-RAISE-B","0","1","","1"
"mujessemle","mujessemle-RAISE-F","2","","",""
"","mujessemle-RAISE-B","0","1","","1"
"mukapatla","mukapatla-RAISE-F","0","1","1",""
"","mukapatla-RAISE-B","19","","",""
"mukemmellesh","mukemmellesh-RAISE-F","5","","",""
"","mukemmellesh-RAISE-B","0","1","","1"
"mulahize","mulahize-RAISE-F","731","1","",""
"","mulahize-RAISE-B","1","","","1"
"mulazimet","mulazimet-RAISE-F","36","1","",""
"","mulazimet-RAISE-B","1","","","1"
"muma","muma-RAISE-F","0","1","1",""
"","muma-RAISE-B","1","","",""
"munare","munare-RAISE-F","3","1","",""
"","munare-RAISE-B","12","","","1"
"munasiwet","munasiwet-RAISE-F","681","1","",""
"","munasiwet-RAISE-B","1","","","1"
"munasiwetlesh","munasiwetlesh-RAISE-F","1","","",""
"","munasiwetlesh-RAISE-B","0","1","","1"
"munazire","munazire-RAISE-F","762","1","",""
"","munazire-RAISE-B","0","","","1"
"munazirilesh","munazirilesh-RAISE-F","4","1","",""
"","munazirilesh-RAISE-B","0","","","1"
"munber","munber-RAISE-F","152","1","",""
"","munber-RAISE-B","2","","","1"
"mungdash","mungdash-RAISE-F","0","1","1",""
"","mungdash-RAISE-B","15","","",""
"munglan","munglan-RAISE-F","0","1","1",""
"","munglan-RAISE-B","1","","",""
"muntizimlash","muntizimlash-RAISE-F","0","1","1",""
"","muntizimlash-RAISE-B","2","","",""
"muqawa","muqawa-RAISE-F","0","1","1",""
"","muqawa-RAISE-B","82","","",""
"muqeddime","muqeddime-RAISE-F","114","","",""
"","muqeddime-RAISE-B","0","1","","1"
"muraji'et","muraji'et-RAISE-F","10","1","",""
"","muraji'et-RAISE-B","0","","","1"
"murat","murat-RAISE-F","0","1","1",""
"","murat-RAISE-B","3","","",""
"murda","murda-RAISE-F","0","1","1",""
"","murda-RAISE-B","14","","",""
"müre","müre-RAISE-F","145","","",""
"","müre-RAISE-B","0","1","","1"
"murekkeplesh","murekkeplesh-RAISE-F","4","","",""
"","murekkeplesh-RAISE-B","0","1","","1"
"muresselesh","muresselesh-RAISE-F","2","","",""
"","muresselesh-RAISE-B","0","1","","1"
"musape","musape-RAISE-F","345","1","",""
"","musape-RAISE-B","47","","","1"
"musapirxana","musapirxana-RAISE-F","1","1","1",""
"","musapirxana-RAISE-B","0","","",""
"musha'ire","musha'ire-RAISE-F","7","1","",""
"","musha'ire-RAISE-B","0","","","1"
"mushtlash","mushtlash-RAISE-F","0","1","1",""
"","mushtlash-RAISE-B","1","","",""
"musibet","musibet-RAISE-F","2","1","",""
"","musibet-RAISE-B","0","","","1"
"mustehkemle","mustehkemle-RAISE-F","50","","",""
"","mustehkemle-RAISE-B","0","1","","1"
"muzla","muzla-RAISE-F","0","1","1",""
"","muzla-RAISE-B","2","","",""
"nacha","nacha-RAISE-F","0","1","1",""
"","nacha-RAISE-B","1","","",""
"nacharlash","nacharlash-RAISE-F","0","1","1",""
"","nacharlash-RAISE-B","22","","",""
"nahiye","nahiye-RAISE-F","1926","1","",""
"","nahiye-RAISE-B","1","","","1"
"nala","nala-RAISE-F","0","1","1",""
"","nala-RAISE-B","1","","",""
"nale","nale-RAISE-F","9","1","",""
"","nale-RAISE-B","2","","","1"
"namayende","namayende-RAISE-F","117","","",""
"","namayende-RAISE-B","0","1","","1"
"namaz","namaz-RAISE-F","0","1","1",""
"","namaz-RAISE-B","331","","",""
"name","name-RAISE-F","8","1","",""
"","name-RAISE-B","20","","","1"
"namratlash","namratlash-RAISE-F","0","1","1",""
"","namratlash-RAISE-B","4","","",""
"namzat","namzat-RAISE-F","0","1","1",""
"","namzat-RAISE-B","4","","",""
"nareside","nareside-RAISE-F","17","","",""
"","nareside-RAISE-B","1","1","","1"
"nasara","nasara-RAISE-F","0","1","1",""
"","nasara-RAISE-B","1","","",""
"nashta","nashta-RAISE-F","0","1","1",""
"","nashta-RAISE-B","37","","",""
"natura","natura-RAISE-F","0","1","1",""
"","natura-RAISE-B","1","","",""
"nawayxana","nawayxana-RAISE-F","0","1","1",""
"","nawayxana-RAISE-B","17","","",""
"naxsha","naxsha-RAISE-F","0","1","1",""
"","naxsha-RAISE-B","373","","",""
"nazaret","nazaret-RAISE-F","245","1","",""
"","nazaret-RAISE-B","4","","","1"
"nazla","nazla-RAISE-F","0","1","1",""
"","nazla-RAISE-B","1","","",""
"nechche","nechche-RAISE-F","49","","",""
"","nechche-RAISE-B","0","1","","1"
"nemune","nemune-RAISE-F","211","1","",""
"","nemune-RAISE-B","4","","","1"
"neper","neper-RAISE-F","22","","",""
"","neper-RAISE-B","0","1","","1"
"nepes","nepes-RAISE-F","4","","",""
"","nepes-RAISE-B","0","1","","1"
"nepeslen","nepeslen-RAISE-F","3","","",""
"","nepeslen-RAISE-B","0","1","","1"
"nepret","nepret-RAISE-F","41","","",""
"","nepret-RAISE-B","0","1","","1"
"nere","nere-RAISE-F","33","","",""
"","nere-RAISE-B","0","1","","1"
"nerse","nerse-RAISE-F","2490","","",""
"","nerse-RAISE-B","2","1","","1"
"nesebname","nesebname-RAISE-F","11","1","",""
"","nesebname-RAISE-B","2","","","1"
"neshe","neshe-RAISE-F","2","","",""
"","neshe-RAISE-B","0","1","","1"
"nesihet","nesihet-RAISE-F","2","","",""
"","nesihet-RAISE-B","0","1","","1"
"netije","netije-RAISE-F","6909","","",""
"","netije-RAISE-B","0","1","","1"
"netijilen","netijilen-RAISE-F","0","","",""
"","netijilen-RAISE-B","1","1","","1"
"newre","newre-RAISE-F","229","","",""
"","newre-RAISE-B","0","1","","1"
"neyreng","neyreng-RAISE-F","2","","",""
"","neyreng-RAISE-B","0","1","","1"
"neyze","neyze-RAISE-F","19","","",""
"","neyze-RAISE-B","0","1","","1"
"nezer","nezer-RAISE-F","57","","",""
"","nezer-RAISE-B","0","1","","1"
"nezeriye","nezeriye-RAISE-F","57","","",""
"","nezeriye-RAISE-B","0","1","","1"
"nezire","nezire-RAISE-F","3","","",""
"","nezire-RAISE-B","0","1","","1"
"nezme","nezme-RAISE-F","41","","",""
"","nezme-RAISE-B","0","1","","1"
"nihayet","nihayet-RAISE-F","1","1","",""
"","nihayet-RAISE-B","0","","","1"
"nishanla","nishanla-RAISE-F","0","1","1",""
"","nishanla-RAISE-B","3","","",""
"nizamname","nizamname-RAISE-F","126","1","",""
"","nizamname-RAISE-B","36","","","1"
"norma","norma-RAISE-F","0","1","1",""
"","norma-RAISE-B","109","","",""
"normallash","normallash-RAISE-F","0","1","1",""
"","normallash-RAISE-B","11","","",""
"nota","nota-RAISE-F","0","1","1",""
"","nota-RAISE-B","48","","",""
"nowélla","nowélla-RAISE-F","0","1","1",""
"","nowélla-RAISE-B","2","","",""
"nöwet","nöwet-RAISE-F","455","","",""
"","nöwet-RAISE-B","0","1","","1"
"nöwetlesh","nöwetlesh-RAISE-F","3","","",""
"","nöwetlesh-RAISE-B","0","1","","1"
"noxta","noxta-RAISE-F","0","1","1",""
"","noxta-RAISE-B","22","","",""
"nuqti'inezer","nuqti'inezer-RAISE-F","4","","",""
"","nuqti'inezer-RAISE-B","0","1","","1"
"nurlan","nurlan-RAISE-F","0","1","1",""
"","nurlan-RAISE-B","2","","",""
"öchiret","öchiret-RAISE-F","1","","",""
"","öchiret-RAISE-B","0","1","","1"
"oghutla","oghutla-RAISE-F","0","1","1",""
"","oghutla-RAISE-B","1","","",""
"okyaniye","okyaniye-RAISE-F","4","1","",""
"","okyaniye-RAISE-B","0","","","1"
"olash","olash-RAISE-F","0","1","1",""
"","olash-RAISE-B","1","","",""
"ölche","ölche-RAISE-F","9","","",""
"","ölche-RAISE-B","0","1","","1"
"ölchem","ölchem-RAISE-F","216","","",""
"","ölchem-RAISE-B","0","1","","1"
"olja","olja-RAISE-F","0","1","1",""
"","olja-RAISE-B","66","","",""
"öltürüwet","öltürüwet-RAISE-F","1","","",""
"","öltürüwet-RAISE-B","0","1","","1"
"ölümname","ölümname-RAISE-F","1","1","",""
"","ölümname-RAISE-B","0","","","1"
"omarta","omarta-RAISE-F","0","1","1",""
"","omarta-RAISE-B","1","","",""
"ömile","ömile-RAISE-F","2","","",""
"","ömile-RAISE-B","0","1","","1"
"omumiyet","omumiyet-RAISE-F","2","1","",""
"","omumiyet-RAISE-B","0","","","1"
"omumlash","omumlash-RAISE-F","0","1","1",""
"","omumlash-RAISE-B","68","","",""
"ongaylash","ongaylash-RAISE-F","0","1","1",""
"","ongaylash-RAISE-B","1","","",""
"ongche","ongche-RAISE-F","0","1","",""
"","ongche-RAISE-B","45","","","1"
"ongla","ongla-RAISE-F","0","1","1",""
"","ongla-RAISE-B","1","","",""
"ongsha","ongsha-RAISE-F","0","1","1",""
"","ongsha-RAISE-B","16","","",""
"öpchöre","öpchöre-RAISE-F","14","","",""
"","öpchöre-RAISE-B","0","1","","1"
"opéra","opéra-RAISE-F","0","1","1",""
"","opéra-RAISE-B","7","","",""
"oqurmen","oqurmen-RAISE-F","3","1","",""
"","oqurmen-RAISE-B","0","","","1"
"ora","ora-RAISE-F","5","1","1",""
"","ora-RAISE-B","3","","",""
"orbita","orbita-RAISE-F","0","1","1",""
"","orbita-RAISE-B","25","","",""
"orda","orda-RAISE-F","0","1","1",""
"","orda-RAISE-B","266","","",""
"öre","öre-RAISE-F","2","","",""
"","öre-RAISE-B","0","1","","1"
"örkeshle","örkeshle-RAISE-F","1","","",""
"","örkeshle-RAISE-B","0","1","","1"
"örle","örle-RAISE-F","83","","",""
"","örle-RAISE-B","0","1","","1"
"örlet","örlet-RAISE-F","2","","",""
"","örlet-RAISE-B","0","1","","1"
"orma","orma-RAISE-F","0","1","1",""
"","orma-RAISE-B","2","","",""
"orman","orman-RAISE-F","0","1","1",""
"","orman-RAISE-B","1","","",""
"ornash","ornash-RAISE-F","0","1","1",""
"","ornash-RAISE-B","1","","",""
"ornat","ornat-RAISE-F","0","1","1",""
"","ornat-RAISE-B","197","","",""
"orunlash","orunlash-RAISE-F","0","1","1",""
"","orunlash-RAISE-B","113","","",""
"orunlashturma","orunlashturma-RAISE-F","0","1","1",""
"","orunlashturma-RAISE-B","6","","",""
"östeng","östeng-RAISE-F","6","","",""
"","östeng-RAISE-B","0","1","","1"
"öte","öte-RAISE-F","14","","",""
"","öte-RAISE-B","0","1","","1"
"öteng","öteng-RAISE-F","2","","",""
"","öteng-RAISE-B","0","1","","1"
"ötkürlesh","ötkürlesh-RAISE-F","18","","",""
"","ötkürlesh-RAISE-B","0","1","","1"
"otla","otla-RAISE-F","0","1","1",""
"","otla-RAISE-B","3","","",""
"ötne","ötne-RAISE-F","3","","",""
"","ötne-RAISE-B","0","1","","1"
"ottura","ottura-RAISE-F","0","1","1",""
"","ottura-RAISE-B","13818","","",""
"otunxana","otunxana-RAISE-F","0","1","1",""
"","otunxana-RAISE-B","1","","",""
"owla","owla-RAISE-F","0","1","1",""
"","owla-RAISE-B","8","","",""
"oxsha","oxsha-RAISE-F","0","1","1",""
"","oxsha-RAISE-B","1242","","",""
"oxshash","oxshash-RAISE-F","0","1","1",""
"","oxshash-RAISE-B","2","","",""
"oxshat","oxshat-RAISE-F","0","1","1",""
"","oxshat-RAISE-B","5","","",""
"oxshatma","oxshatma-RAISE-F","0","1","1",""
"","oxshatma-RAISE-B","1","","",""
"oyla","oyla-RAISE-F","0","1","1",""
"","oyla-RAISE-B","658","","",""
"oylan","oylan-RAISE-F","0","1","1",""
"","oylan-RAISE-B","1","","",""
"oylash","oylash-RAISE-F","0","1","1",""
"","oylash-RAISE-B","58","","",""
"öyle","öyle-RAISE-F","5","","",""
"","öyle-RAISE-B","0","1","","1"
"oyma","oyma-RAISE-F","0","1","1",""
"","oyma-RAISE-B","9","","",""
"oyna","oyna-RAISE-F","0","1","1",""
"","oyna-RAISE-B","69","","",""
"oynash","oynash-RAISE-F","0","1","1",""
"","oynash-RAISE-B","2","","",""
"oyunxana","oyunxana-RAISE-F","0","1","1",""
"","oyunxana-RAISE-B","7","","",""
"özlesh","özlesh-RAISE-F","10","","",""
"","özlesh-RAISE-B","0","1","","1"
"özre","özre-RAISE-F","1","","",""
"","özre-RAISE-B","0","1","","1"
"pa'aliyet","pa'aliyet-RAISE-F","1139","1","",""
"","pa'aliyet-RAISE-B","0","","","1"
"pada","pada-RAISE-F","0","1","1",""
"","pada-RAISE-B","29","","",""
"padisha","padisha-RAISE-F","0","1","1",""
"","padisha-RAISE-B","1","","",""
"pahishe","pahishe-RAISE-F","12","1","",""
"","pahishe-RAISE-B","0","","","1"
"pahishixana","pahishixana-RAISE-F","0","1","1",""
"","pahishixana-RAISE-B","11","","",""
"pala","pala-RAISE-F","0","1","1",""
"","pala-RAISE-B","2","","",""
"palata","palata-RAISE-F","0","1","1",""
"","palata-RAISE-B","52","","",""
"palla","palla-RAISE-F","9","1","1",""
"","palla-RAISE-B","0","","",""
"palma","palma-RAISE-F","0","1","1",""
"","palma-RAISE-B","3","","",""
"palname","palname-RAISE-F","2","1","",""
"","palname-RAISE-B","0","","","1"
"palta","palta-RAISE-F","0","1","1",""
"","palta-RAISE-B","26","","",""
"pana","pana-RAISE-F","0","1","1",""
"","pana-RAISE-B","8","","",""
"panahlan","panahlan-RAISE-F","0","1","1",""
"","panahlan-RAISE-B","33","","",""
"papa","papa-RAISE-F","0","1","1",""
"","papa-RAISE-B","2","","",""
"paranglash","paranglash-RAISE-F","0","1","1",""
"","paranglash-RAISE-B","39","","",""
"paraset","paraset-RAISE-F","10","1","",""
"","paraset-RAISE-B","0","","","1"
"parchila","parchila-RAISE-F","0","1","1",""
"","parchila-RAISE-B","54","","",""
"parische","parische-RAISE-F","1","1","",""
