"Input","Output","Frequency","VAgreeSurface","VAgreeUnderlying","*Unraised","ID"
"mazar-NON_RAISER","mazar-NON_RAISER-UNRAISED-B","217","","","",""
"mazar-RAISER","mazar-RAISER-RAISED-F","0","1","1","","1"
"mazar-RAISER","mazar-RAISER-RAISED-B","52","","","","1"
"mazar-RAISER","mazar-RAISER-UNRAISED-F","0","1","1","1",""
"mazar-RAISER","mazar-RAISER-UNRAISED-B","0","","","1",""
"me'ishet-NON_RAISER","me'ishet-NON_RAISER-RAISED-F","0","","","","1"
"me'ishet-NON_RAISER","me'ishet-NON_RAISER-RAISED-B","0","1","1","","1"
"me'ishet-NON_RAISER","me'ishet-NON_RAISER-UNRAISED-F","8","","","",""
"me'ishet-NON_RAISER","me'ishet-NON_RAISER-UNRAISED-B","0","1","1","",""
"mebud-NON_RAISER","mebud-NON_RAISER-RAISED-F","0","","1","","1"
"mebud-NON_RAISER","mebud-NON_RAISER-RAISED-B","0","1","","","1"
"mebud-NON_RAISER","mebud-NON_RAISER-UNRAISED-F","0","1","1","",""
"mebud-NON_RAISER","mebud-NON_RAISER-UNRAISED-B","2","","","",""
"meddah-NON_RAISER","meddah-NON_RAISER-RAISED-F","0","","1","","1"
"meddah-NON_RAISER","meddah-NON_RAISER-RAISED-B","0","1","","","1"
"meddah-NON_RAISER","meddah-NON_RAISER-UNRAISED-F","0","1","1","",""
"meddah-NON_RAISER","meddah-NON_RAISER-UNRAISED-B","29","","","",""
"meden-NON_RAISER","meden-NON_RAISER-RAISED-F","0","","","","1"
"meden-NON_RAISER","meden-NON_RAISER-RAISED-B","0","1","1","","1"
"meden-NON_RAISER","meden-NON_RAISER-UNRAISED-F","24","","","",""
"meden-NON_RAISER","meden-NON_RAISER-UNRAISED-B","0","1","1","",""
"medeniy-NON_RAISER","medeniy-NON_RAISER-RAISED-F","0","","","","1"
"medeniy-NON_RAISER","medeniy-NON_RAISER-RAISED-B","0","1","1","","1"
"medeniy-NON_RAISER","medeniy-NON_RAISER-UNRAISED-F","22","","","",""
"medeniy-NON_RAISER","medeniy-NON_RAISER-UNRAISED-B","0","1","1","",""
"medeniyet-NON_RAISER","medeniyet-NON_RAISER-RAISED-F","0","","","","1"
"medeniyet-NON_RAISER","medeniyet-NON_RAISER-RAISED-B","0","1","1","","1"
"medeniyet-NON_RAISER","medeniyet-NON_RAISER-UNRAISED-F","1195","","","",""
"medeniyet-NON_RAISER","medeniyet-NON_RAISER-UNRAISED-B","0","1","1","",""
"medeniyet-RAISER","medeniyet-RAISER-RAISED-F","1011","","","","1"
"medeniyet-RAISER","medeniyet-RAISER-RAISED-B","1","1","1","","1"
"medeniyet-RAISER","medeniyet-RAISER-UNRAISED-F","0","","","1",""
"medeniyet-RAISER","medeniyet-RAISER-UNRAISED-B","0","1","1","1",""
"medeniyetperwer-NON_RAISER","medeniyetperwer-NON_RAISER-RAISED-F","0","","","","1"
"medeniyetperwer-NON_RAISER","medeniyetperwer-NON_RAISER-RAISED-B","0","1","1","","1"
"medeniyetperwer-NON_RAISER","medeniyetperwer-NON_RAISER-UNRAISED-F","1","","","",""
"medeniyetperwer-NON_RAISER","medeniyetperwer-NON_RAISER-UNRAISED-B","0","1","1","",""
"medeniyetsiz-NON_RAISER","medeniyetsiz-NON_RAISER-RAISED-F","0","","","","1"
"medeniyetsiz-NON_RAISER","medeniyetsiz-NON_RAISER-RAISED-B","0","1","1","","1"
"medeniyetsiz-NON_RAISER","medeniyetsiz-NON_RAISER-UNRAISED-F","11","","","",""
"medeniyetsiz-NON_RAISER","medeniyetsiz-NON_RAISER-UNRAISED-B","0","1","1","",""
"medeniylesh-RAISER","medeniylesh-RAISER-RAISED-F","1","","","","1"
"medeniylesh-RAISER","medeniylesh-RAISER-RAISED-B","0","1","1","","1"
"medeniylesh-RAISER","medeniylesh-RAISER-UNRAISED-F","0","","","1",""
"medeniylesh-RAISER","medeniylesh-RAISER-UNRAISED-B","0","1","1","1",""
"medet-NON_RAISER","medet-NON_RAISER-RAISED-F","0","","","","1"
"medet-NON_RAISER","medet-NON_RAISER-RAISED-B","0","1","1","","1"
"medet-NON_RAISER","medet-NON_RAISER-UNRAISED-F","12","","","",""
"medet-NON_RAISER","medet-NON_RAISER-UNRAISED-B","0","1","1","",""
"medet-RAISER","medet-RAISER-RAISED-F","1","","","","1"
"medet-RAISER","medet-RAISER-RAISED-B","0","1","1","","1"
"medet-RAISER","medet-RAISER-UNRAISED-F","0","","","1",""
"medet-RAISER","medet-RAISER-UNRAISED-B","0","1","1","1",""
"medhiye-NON_RAISER","medhiye-NON_RAISER-RAISED-F","0","","","","1"
"medhiye-NON_RAISER","medhiye-NON_RAISER-RAISED-B","0","1","1","","1"
"medhiye-NON_RAISER","medhiye-NON_RAISER-UNRAISED-F","25","","","",""
"medhiye-NON_RAISER","medhiye-NON_RAISER-UNRAISED-B","0","1","1","",""
"medhiyile-NON_RAISER","medhiyile-NON_RAISER-RAISED-F","0","","","","1"
"medhiyile-NON_RAISER","medhiyile-NON_RAISER-RAISED-B","0","1","1","","1"
"medhiyile-NON_RAISER","medhiyile-NON_RAISER-UNRAISED-F","5","","","",""
"medhiyile-NON_RAISER","medhiyile-NON_RAISER-UNRAISED-B","0","1","1","",""
"medhiyile-RAISER","medhiyile-RAISER-RAISED-F","21","","","","1"
"medhiyile-RAISER","medhiyile-RAISER-RAISED-B","0","1","1","","1"
"medhiyile-RAISER","medhiyile-RAISER-UNRAISED-F","0","","","1",""
"medhiyile-RAISER","medhiyile-RAISER-UNRAISED-B","0","1","1","1",""
"mediniyet-NON_RAISER","mediniyet-NON_RAISER-RAISED-F","0","","","","1"
"mediniyet-NON_RAISER","mediniyet-NON_RAISER-RAISED-B","0","1","1","","1"
"mediniyet-NON_RAISER","mediniyet-NON_RAISER-UNRAISED-F","19","","","",""
"mediniyet-NON_RAISER","mediniyet-NON_RAISER-UNRAISED-B","0","1","1","",""
"mediniyet-RAISER","mediniyet-RAISER-RAISED-F","5","","","","1"
"mediniyet-RAISER","mediniyet-RAISER-RAISED-B","0","1","1","","1"
"mediniyet-RAISER","mediniyet-RAISER-UNRAISED-F","0","","","1",""
"mediniyet-RAISER","mediniyet-RAISER-UNRAISED-B","0","1","1","1",""
"medrise-RAISER","medrise-RAISER-RAISED-F","214","","","","1"
"medrise-RAISER","medrise-RAISER-RAISED-B","0","1","1","","1"
"medrise-RAISER","medrise-RAISER-UNRAISED-F","0","","","1",""
"medrise-RAISER","medrise-RAISER-UNRAISED-B","0","1","1","1",""
"meghlubiyet-NON_RAISER","meghlubiyet-NON_RAISER-RAISED-F","0","1","","","1"
"meghlubiyet-NON_RAISER","meghlubiyet-NON_RAISER-RAISED-B","0","","1","","1"
"meghlubiyet-NON_RAISER","meghlubiyet-NON_RAISER-UNRAISED-F","249","","","",""
"meghlubiyet-NON_RAISER","meghlubiyet-NON_RAISER-UNRAISED-B","0","1","1","",""
"meghlubiyet-RAISER","meghlubiyet-RAISER-RAISED-F","16","1","","","1"
"meghlubiyet-RAISER","meghlubiyet-RAISER-RAISED-B","0","","1","","1"
"meghlubiyet-RAISER","meghlubiyet-RAISER-UNRAISED-F","0","","","1",""
"meghlubiyet-RAISER","meghlubiyet-RAISER-UNRAISED-B","0","1","1","1",""
"meghrurlan-NON_RAISER","meghrurlan-NON_RAISER-RAISED-F","0","1","1","","1"
"meghrurlan-NON_RAISER","meghrurlan-NON_RAISER-RAISED-B","0","","","","1"
"meghrurlan-NON_RAISER","meghrurlan-NON_RAISER-UNRAISED-F","0","1","1","",""
"meghrurlan-NON_RAISER","meghrurlan-NON_RAISER-UNRAISED-B","14","","","",""
"meghrurlan-RAISER","meghrurlan-RAISER-RAISED-F","0","1","1","","1"
"meghrurlan-RAISER","meghrurlan-RAISER-RAISED-B","12","","","","1"
"meghrurlan-RAISER","meghrurlan-RAISER-UNRAISED-F","0","1","1","1",""
"meghrurlan-RAISER","meghrurlan-RAISER-UNRAISED-B","0","","","1",""
"mehbube-RAISER","mehbube-RAISER-RAISED-F","1","1","","","1"
"mehbube-RAISER","mehbube-RAISER-RAISED-B","0","","1","","1"
"mehbube-RAISER","mehbube-RAISER-UNRAISED-F","0","","","1",""
"mehbube-RAISER","mehbube-RAISER-UNRAISED-B","0","1","1","1",""
"mehbus-NON_RAISER","mehbus-NON_RAISER-RAISED-F","0","","1","","1"
"mehbus-NON_RAISER","mehbus-NON_RAISER-RAISED-B","0","1","","","1"
"mehbus-NON_RAISER","mehbus-NON_RAISER-UNRAISED-F","1","1","1","",""
"mehbus-NON_RAISER","mehbus-NON_RAISER-UNRAISED-B","956","","","",""
"mehel-NON_RAISER","mehel-NON_RAISER-RAISED-F","0","","","","1"
"mehel-NON_RAISER","mehel-NON_RAISER-RAISED-B","0","1","1","","1"
"mehel-NON_RAISER","mehel-NON_RAISER-UNRAISED-F","13","","","",""
"mehel-NON_RAISER","mehel-NON_RAISER-UNRAISED-B","0","1","1","",""
"mehelle-NON_RAISER","mehelle-NON_RAISER-RAISED-F","0","","","","1"
"mehelle-NON_RAISER","mehelle-NON_RAISER-RAISED-B","0","1","1","","1"
"mehelle-NON_RAISER","mehelle-NON_RAISER-UNRAISED-F","4","","","",""
"mehelle-NON_RAISER","mehelle-NON_RAISER-UNRAISED-B","0","1","1","",""
"mehelle-RAISER","mehelle-RAISER-RAISED-F","1288","","","","1"
"mehelle-RAISER","mehelle-RAISER-RAISED-B","0","1","1","","1"
"mehelle-RAISER","mehelle-RAISER-UNRAISED-F","1","","","1",""
"mehelle-RAISER","mehelle-RAISER-UNRAISED-B","0","1","1","1",""
"mehrem-NON_RAISER","mehrem-NON_RAISER-RAISED-F","0","","","","1"
"mehrem-NON_RAISER","mehrem-NON_RAISER-RAISED-B","0","1","1","","1"
"mehrem-NON_RAISER","mehrem-NON_RAISER-UNRAISED-F","2","","","",""
"mehrem-NON_RAISER","mehrem-NON_RAISER-UNRAISED-B","0","1","1","",""
"mehrem-RAISER","mehrem-RAISER-RAISED-F","1","","","","1"
"mehrem-RAISER","mehrem-RAISER-RAISED-B","0","1","1","","1"
"mehrem-RAISER","mehrem-RAISER-UNRAISED-F","0","","","1",""
"mehrem-RAISER","mehrem-RAISER-UNRAISED-B","0","1","1","1",""
"mehsul-NON_RAISER","mehsul-NON_RAISER-RAISED-F","0","","1","","1"
"mehsul-NON_RAISER","mehsul-NON_RAISER-RAISED-B","0","1","","","1"
"mehsul-NON_RAISER","mehsul-NON_RAISER-UNRAISED-F","0","1","1","",""
"mehsul-NON_RAISER","mehsul-NON_RAISER-UNRAISED-B","1","","","",""
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-RAISED-F","0","1","1","","1"
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-RAISED-B","0","","","","1"
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-UNRAISED-F","0","1","1","",""
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-UNRAISED-B","884","","","",""
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-RAISED-F","0","1","1","","1"
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-RAISED-B","0","","","","1"
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-UNRAISED-F","0","1","1","",""
"mehsulat-NON_RAISER","mehsulat-NON_RAISER-UNRAISED-B","70","","","",""
"mejaz-NON_RAISER","mejaz-NON_RAISER-RAISED-F","0","","1","","1"
"mejaz-NON_RAISER","mejaz-NON_RAISER-RAISED-B","0","1","","","1"
"mejaz-NON_RAISER","mejaz-NON_RAISER-UNRAISED-F","0","1","1","",""
"mejaz-NON_RAISER","mejaz-NON_RAISER-UNRAISED-B","2","","","",""
"mejburiy-NON_RAISER","mejburiy-NON_RAISER-RAISED-F","0","","1","","1"
"mejburiy-NON_RAISER","mejburiy-NON_RAISER-RAISED-B","0","1","","","1"
"mejburiy-NON_RAISER","mejburiy-NON_RAISER-UNRAISED-F","0","1","1","",""
"mejburiy-NON_RAISER","mejburiy-NON_RAISER-UNRAISED-B","1","","","",""
"mejburiyet-NON_RAISER","mejburiyet-NON_RAISER-RAISED-F","0","1","","","1"
"mejburiyet-NON_RAISER","mejburiyet-NON_RAISER-RAISED-B","0","","1","","1"
"mejburiyet-NON_RAISER","mejburiyet-NON_RAISER-UNRAISED-F","80","","","",""
"mejburiyet-NON_RAISER","mejburiyet-NON_RAISER-UNRAISED-B","0","1","1","",""
"mejburiyet-RAISER","mejburiyet-RAISER-RAISED-F","67","1","","","1"
"mejburiyet-RAISER","mejburiyet-RAISER-RAISED-B","0","","1","","1"
"mejburiyet-RAISER","mejburiyet-RAISER-UNRAISED-F","0","","","1",""
"mejburiyet-RAISER","mejburiyet-RAISER-UNRAISED-B","0","1","1","1",""
"mejburla-NON_RAISER","mejburla-NON_RAISER-RAISED-F","0","1","1","","1"
"mejburla-NON_RAISER","mejburla-NON_RAISER-RAISED-B","0","","","","1"
"mejburla-NON_RAISER","mejburla-NON_RAISER-UNRAISED-F","0","1","1","",""
"mejburla-NON_RAISER","mejburla-NON_RAISER-UNRAISED-B","58","","","",""
"mejburlash-NON_RAISER","mejburlash-NON_RAISER-RAISED-F","0","1","1","","1"
"mejburlash-NON_RAISER","mejburlash-NON_RAISER-RAISED-B","0","","","","1"
"mejburlash-NON_RAISER","mejburlash-NON_RAISER-UNRAISED-F","0","1","1","",""
"mejburlash-NON_RAISER","mejburlash-NON_RAISER-UNRAISED-B","5","","","",""
"mejlisxana-RAISER","mejlisxana-RAISER-RAISED-F","0","1","1","","1"
"mejlisxana-RAISER","mejlisxana-RAISER-RAISED-B","3","","","","1"
"mejlisxana-RAISER","mejlisxana-RAISER-UNRAISED-F","0","1","1","1",""
"mejlisxana-RAISER","mejlisxana-RAISER-UNRAISED-B","3","","","1",""
"mejmu'e-NON_RAISER","mejmu'e-NON_RAISER-RAISED-F","0","1","","","1"
"mejmu'e-NON_RAISER","mejmu'e-NON_RAISER-RAISED-B","0","","1","","1"
"mejmu'e-NON_RAISER","mejmu'e-NON_RAISER-UNRAISED-F","34","","","",""
"mejmu'e-NON_RAISER","mejmu'e-NON_RAISER-UNRAISED-B","0","1","1","",""
"mejruh-NON_RAISER","mejruh-NON_RAISER-RAISED-F","0","","1","","1"
"mejruh-NON_RAISER","mejruh-NON_RAISER-RAISED-B","0","1","","","1"
"mejruh-NON_RAISER","mejruh-NON_RAISER-UNRAISED-F","0","1","1","",""
"mejruh-NON_RAISER","mejruh-NON_RAISER-UNRAISED-B","24","","","",""
"mejusiy-NON_RAISER","mejusiy-NON_RAISER-RAISED-F","0","","1","","1"
"mejusiy-NON_RAISER","mejusiy-NON_RAISER-RAISED-B","0","1","","","1"
"mejusiy-NON_RAISER","mejusiy-NON_RAISER-UNRAISED-F","0","1","1","",""
"mejusiy-NON_RAISER","mejusiy-NON_RAISER-UNRAISED-B","1","","","",""
"mejün-NON_RAISER","mejün-NON_RAISER-RAISED-F","0","","","","1"
"mejün-NON_RAISER","mejün-NON_RAISER-RAISED-B","0","1","1","","1"
"mejün-NON_RAISER","mejün-NON_RAISER-UNRAISED-F","1","","","",""
"mejün-NON_RAISER","mejün-NON_RAISER-UNRAISED-B","0","1","1","",""
"mektepdash-NON_RAISER","mektepdash-NON_RAISER-RAISED-F","0","","1","","1"
"mektepdash-NON_RAISER","mektepdash-NON_RAISER-RAISED-B","0","1","","","1"
"mektepdash-NON_RAISER","mektepdash-NON_RAISER-UNRAISED-F","0","1","1","",""
"mektepdash-NON_RAISER","mektepdash-NON_RAISER-UNRAISED-B","1","","","",""
"mel'un-NON_RAISER","mel'un-NON_RAISER-RAISED-F","0","","1","","1"
"mel'un-NON_RAISER","mel'un-NON_RAISER-RAISED-B","0","1","","","1"
"mel'un-NON_RAISER","mel'un-NON_RAISER-UNRAISED-F","0","1","1","",""
"mel'un-NON_RAISER","mel'un-NON_RAISER-UNRAISED-B","14","","","",""
"melhem-NON_RAISER","melhem-NON_RAISER-RAISED-F","0","","","","1"
"melhem-NON_RAISER","melhem-NON_RAISER-RAISED-B","0","1","1","","1"
"melhem-NON_RAISER","melhem-NON_RAISER-UNRAISED-F","7","","","",""
"melhem-NON_RAISER","melhem-NON_RAISER-UNRAISED-B","0","1","1","",""
"melumat-NON_RAISER","melumat-NON_RAISER-RAISED-F","0","1","1","","1"
"melumat-NON_RAISER","melumat-NON_RAISER-RAISED-B","0","","","","1"
"melumat-NON_RAISER","melumat-NON_RAISER-UNRAISED-F","1","1","1","",""
"melumat-NON_RAISER","melumat-NON_RAISER-UNRAISED-B","4816","","","",""
"melumat-NON_RAISER","melumat-NON_RAISER-RAISED-F","0","1","1","","1"
"melumat-NON_RAISER","melumat-NON_RAISER-RAISED-B","0","","","","1"
"melumat-NON_RAISER","melumat-NON_RAISER-UNRAISED-F","0","1","1","",""
"melumat-NON_RAISER","melumat-NON_RAISER-UNRAISED-B","347","","","",""
"memedan-NON_RAISER","memedan-NON_RAISER-RAISED-F","0","","1","","1"
"memedan-NON_RAISER","memedan-NON_RAISER-RAISED-B","0","1","","","1"
"memedan-NON_RAISER","memedan-NON_RAISER-UNRAISED-F","0","1","1","",""
"memedan-NON_RAISER","memedan-NON_RAISER-UNRAISED-B","16","","","",""
"memedana-RAISER","memedana-RAISER-RAISED-F","0","1","1","","1"
"memedana-RAISER","memedana-RAISER-RAISED-B","1","","","","1"
"memedana-RAISER","memedana-RAISER-UNRAISED-F","0","1","1","1",""
"memedana-RAISER","memedana-RAISER-UNRAISED-B","0","","","1",""
"memet-NON_RAISER","memet-NON_RAISER-RAISED-F","0","","","","1"
"memet-NON_RAISER","memet-NON_RAISER-RAISED-B","0","1","1","","1"
"memet-NON_RAISER","memet-NON_RAISER-UNRAISED-F","11","","","",""
"memet-NON_RAISER","memet-NON_RAISER-UNRAISED-B","0","1","1","",""
"memnun-NON_RAISER","memnun-NON_RAISER-RAISED-F","0","","1","","1"
"memnun-NON_RAISER","memnun-NON_RAISER-RAISED-B","0","1","","","1"
"memnun-NON_RAISER","memnun-NON_RAISER-UNRAISED-F","0","1","1","",""
"memnun-NON_RAISER","memnun-NON_RAISER-UNRAISED-B","2","","","",""
"memnuniyet-NON_RAISER","memnuniyet-NON_RAISER-RAISED-F","0","1","","","1"
"memnuniyet-NON_RAISER","memnuniyet-NON_RAISER-RAISED-B","0","","1","","1"
"memnuniyet-NON_RAISER","memnuniyet-NON_RAISER-UNRAISED-F","8","","","",""
"memnuniyet-NON_RAISER","memnuniyet-NON_RAISER-UNRAISED-B","0","1","1","",""
"memuriyet-NON_RAISER","memuriyet-NON_RAISER-RAISED-F","0","1","","","1"
"memuriyet-NON_RAISER","memuriyet-NON_RAISER-RAISED-B","0","","1","","1"
"memuriyet-NON_RAISER","memuriyet-NON_RAISER-UNRAISED-F","13","","","",""
"memuriyet-NON_RAISER","memuriyet-NON_RAISER-UNRAISED-B","0","1","1","",""
"memuriyet-RAISER","memuriyet-RAISER-RAISED-F","124","1","","","1"
"memuriyet-RAISER","memuriyet-RAISER-RAISED-B","0","","1","","1"
"memuriyet-RAISER","memuriyet-RAISER-UNRAISED-F","0","","","1",""
"memuriyet-RAISER","memuriyet-RAISER-UNRAISED-B","0","1","1","1",""
"menbe-NON_RAISER","menbe-NON_RAISER-RAISED-F","0","","","","1"
"menbe-NON_RAISER","menbe-NON_RAISER-RAISED-B","0","1","1","","1"
"menbe-NON_RAISER","menbe-NON_RAISER-UNRAISED-F","1201","","","",""
"menbe-NON_RAISER","menbe-NON_RAISER-UNRAISED-B","0","1","1","",""
"menbeshunas-NON_RAISER","menbeshunas-NON_RAISER-RAISED-F","0","1","1","","1"
"menbeshunas-NON_RAISER","menbeshunas-NON_RAISER-RAISED-B","0","","","","1"
"menbeshunas-NON_RAISER","menbeshunas-NON_RAISER-UNRAISED-F","0","1","1","",""
"menbeshunas-NON_RAISER","menbeshunas-NON_RAISER-UNRAISED-B","13","","","",""
"menche-RAISER","menche-RAISER-RAISED-F","0","","","","1"
"menche-RAISER","menche-RAISER-RAISED-B","1","1","1","","1"
"menche-RAISER","menche-RAISER-UNRAISED-F","0","","","1",""
"menche-RAISER","menche-RAISER-UNRAISED-B","0","1","1","1",""
"menggütash-NON_RAISER","menggütash-NON_RAISER-RAISED-F","0","","1","","1"
"menggütash-NON_RAISER","menggütash-NON_RAISER-RAISED-B","0","1","","","1"
"menggütash-NON_RAISER","menggütash-NON_RAISER-UNRAISED-F","0","1","1","",""
"menggütash-NON_RAISER","menggütash-NON_RAISER-UNRAISED-B","6","","","",""
"menmenchi-NON_RAISER","menmenchi-NON_RAISER-RAISED-F","0","","","","1"
"menmenchi-NON_RAISER","menmenchi-NON_RAISER-RAISED-B","0","1","1","","1"
"menmenchi-NON_RAISER","menmenchi-NON_RAISER-UNRAISED-F","27","","","",""
"menmenchi-NON_RAISER","menmenchi-NON_RAISER-UNRAISED-B","0","1","1","",""
"menpe'et-NON_RAISER","menpe'et-NON_RAISER-RAISED-F","0","","","","1"
"menpe'et-NON_RAISER","menpe'et-NON_RAISER-RAISED-B","0","1","1","","1"
"menpe'et-NON_RAISER","menpe'et-NON_RAISER-UNRAISED-F","290","","","",""
"menpe'et-NON_RAISER","menpe'et-NON_RAISER-UNRAISED-B","0","1","1","",""
"menpe'et-RAISER","menpe'et-RAISER-RAISED-F","173","","","","1"
"menpe'et-RAISER","menpe'et-RAISER-RAISED-B","0","1","1","","1"
"menpe'et-RAISER","menpe'et-RAISER-UNRAISED-F","311","","","1",""
"menpe'et-RAISER","menpe'et-RAISER-UNRAISED-B","0","1","1","1",""
"mensep-NON_RAISER","mensep-NON_RAISER-RAISED-F","0","","","","1"
"mensep-NON_RAISER","mensep-NON_RAISER-RAISED-B","0","1","1","","1"
"mensep-NON_RAISER","mensep-NON_RAISER-UNRAISED-F","69","","","",""
"mensep-NON_RAISER","mensep-NON_RAISER-UNRAISED-B","0","1","1","",""
"mensep-RAISER","mensep-RAISER-RAISED-F","8","","","","1"
"mensep-RAISER","mensep-RAISER-RAISED-B","0","1","1","","1"
"mensep-RAISER","mensep-RAISER-UNRAISED-F","0","","","1",""
"mensep-RAISER","mensep-RAISER-UNRAISED-B","0","1","1","1",""
"mensepdar-NON_RAISER","mensepdar-NON_RAISER-RAISED-F","0","","1","","1"
"mensepdar-NON_RAISER","mensepdar-NON_RAISER-RAISED-B","0","1","","","1"
"mensepdar-NON_RAISER","mensepdar-NON_RAISER-UNRAISED-F","0","1","1","",""
"mensepdar-NON_RAISER","mensepdar-NON_RAISER-UNRAISED-B","26","","","",""
"menzer-NON_RAISER","menzer-NON_RAISER-RAISED-F","0","","","","1"
"menzer-NON_RAISER","menzer-NON_RAISER-RAISED-B","0","1","1","","1"
"menzer-NON_RAISER","menzer-NON_RAISER-UNRAISED-F","1","","","",""
"menzer-NON_RAISER","menzer-NON_RAISER-UNRAISED-B","0","1","1","",""
"menzire-RAISER","menzire-RAISER-RAISED-F","268","","","","1"
"menzire-RAISER","menzire-RAISER-RAISED-B","1","1","1","","1"
"menzire-RAISER","menzire-RAISER-UNRAISED-F","0","","","1",""
"menzire-RAISER","menzire-RAISER-UNRAISED-B","0","1","1","1",""
"mepkure-RAISER","mepkure-RAISER-RAISED-F","26","1","","","1"
"mepkure-RAISER","mepkure-RAISER-RAISED-B","4","","1","","1"
"mepkure-RAISER","mepkure-RAISER-UNRAISED-F","1","","","1",""
"mepkure-RAISER","mepkure-RAISER-UNRAISED-B","0","1","1","1",""
"meqbere-RAISER","meqbere-RAISER-RAISED-F","13","","","","1"
"meqbere-RAISER","meqbere-RAISER-RAISED-B","0","1","1","","1"
"meqbere-RAISER","meqbere-RAISER-UNRAISED-F","0","","","1",""
"meqbere-RAISER","meqbere-RAISER-UNRAISED-B","0","1","1","1",""
"merez-NON_RAISER","merez-NON_RAISER-RAISED-F","0","","","","1"
"merez-NON_RAISER","merez-NON_RAISER-RAISED-B","0","1","1","","1"
"merez-NON_RAISER","merez-NON_RAISER-UNRAISED-F","1","","","",""
"merez-NON_RAISER","merez-NON_RAISER-UNRAISED-B","0","1","1","",""
"merhemet-NON_RAISER","merhemet-NON_RAISER-RAISED-F","0","","","","1"
"merhemet-NON_RAISER","merhemet-NON_RAISER-RAISED-B","0","1","1","","1"
"merhemet-NON_RAISER","merhemet-NON_RAISER-UNRAISED-F","11","","","",""
"merhemet-NON_RAISER","merhemet-NON_RAISER-UNRAISED-B","0","1","1","",""
"merhemet-RAISER","merhemet-RAISER-RAISED-F","3","","","","1"
"merhemet-RAISER","merhemet-RAISER-RAISED-B","0","1","1","","1"
"merhemet-RAISER","merhemet-RAISER-UNRAISED-F","0","","","1",""
"merhemet-RAISER","merhemet-RAISER-UNRAISED-B","0","1","1","1",""
"merhemetsiz-NON_RAISER","merhemetsiz-NON_RAISER-RAISED-F","0","","","","1"
"merhemetsiz-NON_RAISER","merhemetsiz-NON_RAISER-RAISED-B","0","1","1","","1"
"merhemetsiz-NON_RAISER","merhemetsiz-NON_RAISER-UNRAISED-F","1","","","",""
"merhemetsiz-NON_RAISER","merhemetsiz-NON_RAISER-UNRAISED-B","0","1","1","",""
"meripet-NON_RAISER","meripet-NON_RAISER-RAISED-F","0","","","","1"
"meripet-NON_RAISER","meripet-NON_RAISER-RAISED-B","0","1","1","","1"
"meripet-NON_RAISER","meripet-NON_RAISER-UNRAISED-F","87","","","",""
"meripet-NON_RAISER","meripet-NON_RAISER-UNRAISED-B","0","1","1","",""
"meripetchi-NON_RAISER","meripetchi-NON_RAISER-RAISED-F","0","","","","1"
"meripetchi-NON_RAISER","meripetchi-NON_RAISER-RAISED-B","0","1","1","","1"
"meripetchi-NON_RAISER","meripetchi-NON_RAISER-UNRAISED-F","80","","","",""
"meripetchi-NON_RAISER","meripetchi-NON_RAISER-UNRAISED-B","0","1","1","",""
"meripetperwer-NON_RAISER","meripetperwer-NON_RAISER-RAISED-F","0","","","","1"
"meripetperwer-NON_RAISER","meripetperwer-NON_RAISER-RAISED-B","0","1","1","","1"
"meripetperwer-NON_RAISER","meripetperwer-NON_RAISER-UNRAISED-F","14","","","",""
"meripetperwer-NON_RAISER","meripetperwer-NON_RAISER-UNRAISED-B","0","1","1","",""
"merkezlesh-NON_RAISER","merkezlesh-NON_RAISER-RAISED-F","0","","","","1"
"merkezlesh-NON_RAISER","merkezlesh-NON_RAISER-RAISED-B","0","1","1","","1"
"merkezlesh-NON_RAISER","merkezlesh-NON_RAISER-UNRAISED-F","38","","","",""
"merkezlesh-NON_RAISER","merkezlesh-NON_RAISER-UNRAISED-B","0","1","1","",""
"merkezlesh-RAISER","merkezlesh-RAISER-RAISED-F","5","","","","1"
"merkezlesh-RAISER","merkezlesh-RAISER-RAISED-B","0","1","1","","1"
"merkezlesh-RAISER","merkezlesh-RAISER-UNRAISED-F","0","","","1",""
"merkezlesh-RAISER","merkezlesh-RAISER-UNRAISED-B","0","1","1","1",""
"merkezleshtür-NON_RAISER","merkezleshtür-NON_RAISER-RAISED-F","0","","","","1"
"merkezleshtür-NON_RAISER","merkezleshtür-NON_RAISER-RAISED-B","0","1","1","","1"
"merkezleshtür-NON_RAISER","merkezleshtür-NON_RAISER-UNRAISED-F","133","","","",""
"merkezleshtür-NON_RAISER","merkezleshtür-NON_RAISER-UNRAISED-B","3","1","1","",""
"mermer-NON_RAISER","mermer-NON_RAISER-RAISED-F","0","","","","1"
"mermer-NON_RAISER","mermer-NON_RAISER-RAISED-B","0","1","1","","1"
"mermer-NON_RAISER","mermer-NON_RAISER-UNRAISED-F","1","","","",""
"mermer-NON_RAISER","mermer-NON_RAISER-UNRAISED-B","0","1","1","",""
"mersiye-NON_RAISER","mersiye-NON_RAISER-RAISED-F","0","","","","1"
